Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,8.370000,8.530000,8.210000,8.380000,8.380000,22512000
2023-04-04,8.530000,8.540000,8.230000,8.350000,8.350000,23961200
2023-04-05,8.630000,8.650000,7.840000,7.980000,7.980000,54946900
2023-04-06,7.880000,8.140000,7.790000,8.090000,8.090000,23488600
2023-04-10,8.000000,8.440000,7.900000,8.390000,8.390000,29184700
2023-04-11,8.350000,8.790000,8.340000,8.610000,8.610000,35617900
2023-04-12,8.750000,8.775000,8.300000,8.330000,8.330000,28771300
2023-04-13,8.500000,8.700000,8.430000,8.580000,8.580000,27983300
2023-04-14,8.530000,8.910000,8.470000,8.810000,8.810000,42364500
2023-04-17,8.810000,9.040000,8.780000,8.800000,8.800000,26047500
2023-04-18,8.930000,9.020000,8.720000,8.730000,8.730000,21185300
2023-04-19,8.580000,8.658000,8.480000,8.490000,8.490000,18193700
2023-04-20,8.290000,8.500000,8.130000,8.150000,8.150000,23573000
2023-04-21,8.140000,8.220000,8.090000,8.180000,8.180000,14896700
2023-04-24,8.160000,8.250000,7.940000,8.100000,8.100000,20439300
2023-04-25,8.000000,8.020000,7.730000,7.740000,7.740000,21849100
2023-04-26,7.870000,7.910000,7.650000,7.740000,7.740000,21396700
2023-04-27,7.830000,7.910000,7.720000,7.820000,7.820000,21385500
2023-04-28,7.770000,8.000000,7.620000,7.750000,7.750000,24924400
2023-05-01,7.750000,7.820000,7.660000,7.780000,7.780000,19134200
2023-05-02,7.720000,7.910000,7.430000,7.590000,7.590000,38008000
2023-05-03,7.620000,7.680000,7.450000,7.560000,7.560000,24322400
2023-05-04,7.470000,7.520000,7.280000,7.380000,7.380000,29989300
2023-05-05,7.440000,7.550000,7.320000,7.410000,7.410000,45601300
2023-05-08,7.640000,7.855000,7.590000,7.740000,7.740000,105304000
2023-05-09,9.220000,9.690000,8.655000,9.550000,9.550000,223573300
2023-05-10,9.730000,10.300000,9.460000,9.940000,9.940000,149375000
2023-05-11,10.140000,10.159000,9.710000,9.880000,9.880000,73754100
2023-05-12,9.860000,10.010000,9.470000,9.500000,9.500000,62031700
2023-05-15,9.210000,9.600000,9.020000,9.520000,9.520000,53555500
2023-05-16,9.400000,9.630000,9.350000,9.470000,9.470000,42311900
2023-05-17,9.540000,10.285000,9.460000,10.250000,10.250000,63834500
